cam_abbr,cam_name,angle,category,url,stored_url
aigloncollege,Aiglon College,360,Schools,https://aigloncollege.roundshot.com/,https://storage2.roundshot.com/576c4aa94999f3.08977207
beausoleil,Villars,360,Schools,https://beausoleil.roundshot.com/,https://storage2.roundshot.com/53a045ff4fbbe6.64488555
baeumlihof,Bäumlihof Gymnasium,360,Schools,https://baeumlihof.roundshot.com/,https://storage2.roundshot.com/5804de7f346cd2.01986444
epfl,EPFL BC,360,Schools,https://epfl.roundshot.com/,https://storage2.roundshot.com/57a460b47e2e65.46913349
epflplace,EPFL Place Maurice Cosandey,360,Schools,https://epflplace.roundshot.com/,https://storage2.roundshot.com/5ca61693905378.18868884
andermatt-sedrun_gemsstock,Gemsstock,360,Ski resorts,https://andermatt-sedrun.roundshot.com/gemsstock/,https://storage.roundshot.com/550ea97a839c41.16439903
anzere_pistes,Anzère - Pas de Maimbré,240,Ski resorts,https://anzere.roundshot.com/pistes/,https://storage2.roundshot.com/531f37f9368025.33250381
anzere_village,Anzère - Village,360,Ski resorts,https://anzere.roundshot.com/village/,https://storage2.roundshot.com/531f37804d07d3.91324329
arosadorf,Arosa Dorf,360,Ski resorts,https://arosadorf.roundshot.com/,https://storage2.roundshot.com/5ef5e7be5df768.65713316
baerenland,Bärenland,360,Ski resorts,https://baerenland.roundshot.com/,https://storage.roundshot.com/5b60374e4e39d2.29024102
hoernliberg,Hörnli,360,Ski resorts,https://hoernliberg.roundshot.com/,https://storage.roundshot.com/59b264f297a104.65661067
tschuggen,Tschuggen,360,Ski resorts,https://tschuggen.roundshot.com/,https://storage.roundshot.com/53a04101be4002.64521781
weisshorn,Weisshorn,360,Ski resorts,https://weisshorn.roundshot.com/,https://storage.roundshot.com/585bec33968fe0.94963985
axalp_windegg,Axalp - Windegg,360,Ski resorts,https://axalp.roundshot.com/windegg/,https://storage2.roundshot.com/5f8ed3efe2a147.60061295
belalp_hohbiel,Hohbiel,360,Ski resorts,https://belalp.roundshot.com/hohbiel/,https://storage.roundshot.com/55a78f482a72c1.38995956
bellwaldtourismus_bellwald,Bellwald  Talstation,360,Ski resorts,https://bellwaldtourismus.roundshot.com/bellwald/,https://storage2.roundshot.com/5f6e032719cc12.19495005
bellwaldtourismus_fleschen,Bellwald Mittelstation Fleschen,360,Ski resorts,https://bellwaldtourismus.roundshot.com/fleschen/,https://storage2.roundshot.com/5fe0728255b109.14387735
bellwaldtourismus_furggulti,Furggulti,360,Ski resorts,https://bellwaldtourismus.roundshot.com/furggulti/,https://storage2.roundshot.com/60059c1b2b0718.08571881
bielkinzig_weissenboden,Weissenboden,360,Ski resorts,https://bielkinzig.roundshot.com/weissenboden/,https://storage.roundshot.com/563cccc4d6dde3.19689514
braunwald_gumen,Gumen,360,Ski resorts,https://braunwald.roundshot.com/gumen/,https://storage.roundshot.com/57dfbb86b9b081.59321175
braunwald_z_grotzenbuel,Z_Grotzenbüel,360,Ski resorts,https://braunwald.roundshot.com/z_grotzenbuel/,https://storage.roundshot.com/57dfb17c4ab459.56285187
brigtourismus_simplonpass,Simplonpass,360,Ski resorts,https://brigtourismus.roundshot.com/simplonpass/,https://storage.roundshot.com/61790a6bd1bc05.18647068
pds-ch_lescrosets,Les Crosets,360,Ski resorts,https://pds-ch.roundshot.com/lescrosets/,https://storage.roundshot.com/59636f2befbde3.53139220
pds-ch_morgins,Morgins,360,Ski resorts,https://pds-ch.roundshot.com/morgins/,https://storage2.roundshot.com/5dfcb3eb5845c6.55182376
brambruesch,Brambrüesch,360,Ski resorts,https://brambruesch.roundshot.com/,https://storage2.roundshot.com/582d8268ab87f6.88941696
lenzerheide_parpan,Parpan Gemeinde,360,Ski resorts,https://lenzerheide.roundshot.com/parpan/,https://storage.roundshot.com/545ce166cfcab0.97806627
telechateaudoex_la-braye,La Braye,360,Ski resorts,https://telechateaudoex.roundshot.com/la-braye/,https://storage.roundshot.com/55911a68b6e3b0.87363835
cma_grandsignal,La Nationale,360,Ski resorts,https://cma.roundshot.com/grandsignal/,https://storage.roundshot.com/53a837162f8ce9.23016414
disentis_caischavedra,Caischavedra,360,Ski resorts,https://disentis.roundshot.com/caischavedra/,https://storage2.roundshot.com/5e25d07132d6d6.63539632
disentis_cuolmdavi,Cuolm Da Vi,360,Ski resorts,https://disentis.roundshot.com/cuolmdavi/,https://storage.roundshot.com/5e25cfe6dccee4.58743619
disentis_gendusa,Gendusa,360,Ski resorts,https://disentis.roundshot.com/gendusa/,https://storage2.roundshot.com/5e25d0664d63a0.37910666
ecole-suisse-de-ski-diablerets,Ecole Suisse de Ski Diablerets,360,Ski resorts,https://ecole-suisse-de-ski-diablerets.roundshot.com/,https://storage2.roundshot.com/60e2d724904465.41029159
eischoll_stryggen,Stryggen,360,Ski resorts,https://eischoll.roundshot.com/stryggen/,https://storage2.roundshot.com/60c06fbbdae733.99444519
evoleneregion_arolla,Arolla,360,Ski resorts,https://evoleneregion.roundshot.com/arolla/,https://storage2.roundshot.com/5f7af5180ccd85.03527271
evoleneregion_evolene,Evolène,360,Ski resorts,https://evoleneregion.roundshot.com/evolene/,https://storage2.roundshot.com/582c8ad2e12607.05314864
fuerenalp,Fürenalp,360,Ski resorts,https://fuerenalp.roundshot.com/,https://storage.roundshot.com/53a83ab613b499.51177756
gemmi,Gemmi,360,Ski resorts,https://gemmi.roundshot.com/,https://storage.roundshot.com/53a97832ca3462.76027122
grindelwaldbus,Grindelwald Bus,360,Ski resorts,https://grindelwaldbus.roundshot.com/,https://storage2.roundshot.com/53a0446509fab0.00534517
maennlichen_bergstation-wengen,Männlichen Bergstation Wengen,360,Ski resorts,https://maennlichen.roundshot.com/bergstation-wengen/,https://storage2.roundshot.com/5dea20fe356da5.66127651
glacier3000_cabane,Glacier 3000 - Cabane,360,Ski resorts,https://glacier3000.roundshot.com/cabane/,https://storage2.roundshot.com/60ca10d050e1c6.36523180
glacier3000,Glacier3000,360,Ski resorts,https://glacier3000.roundshot.com/,https://storage.roundshot.com/53ce6a088e0b28.00564708
hochwang_triemel,Triemel,360,Ski resorts,https://hochwang.roundshot.com/triemel/,https://storage.roundshot.com/6141fad9adac31.34073269
hohsaas_3200,Hohsaas 3200m,360,Ski resorts,https://hohsaas.roundshot.com/3200/,https://storage.roundshot.com/5523f38c8a5d50.60990359
hohsaas_kreuzboden,Kreuzboden 2400m,360,Ski resorts,https://hohsaas.roundshot.com/kreuzboden/,https://storage.roundshot.com/5a1599033c9fd1.83623272
jungfrau_top-of-europe-eiger-express,Eiger Express Panorama Mast 4,360,Ski resorts,https://jungfrau.roundshot.com/top-of-europe-eiger-express/,https://storage2.roundshot.com/5df0edf6b4e0b3.73492331
jungfrau_top-of-europe-jungfraujoch,Jungfraujoch,360,Ski resorts,https://jungfrau.roundshot.com/top-of-europe-jungfraujoch/,https://storage.roundshot.com/5e568a0aaea5b0.54147912
